Local time,Ask,Bid,AskVolume,BidVolume
27.07.2020 05:01:05.572 GMT+0700,1901.932,1901.028,370,370
27.07.2020 05:01:05.673 GMT+0700,1901.892,1901.018,370,370
27.07.2020 05:01:05.828 GMT+0700,1901.852,1900.968,370,370
27.07.2020 05:01:05.928 GMT+0700,1901.922,1901.008,370,370
27.07.2020 05:01:05.979 GMT+0700,1901.712,1901.008,370,370
27.07.2020 05:01:06.130 GMT+0700,1901.592,1901.018,370,370
27.07.2020 05:01:06.281 GMT+0700,1901.542,1901.018,370,370
27.07.2020 05:01:06.823 GMT+0700,1901.582,1900.808,370,370
27.07.2020 05:01:06.874 GMT+0700,1901.672,1900.768,370,370
27.07.2020 05:01:06.974 GMT+0700,1901.572,1900.468,370,370
27.07.2020 05:01:07.025 GMT+0700,1901.542,1900.438,370,370
27.07.2020 05:01:07.075 GMT+0700,1901.572,1900.378,370,370
27.07.2020 05:01:07.126 GMT+0700,1901.522,1900.448,370,370
27.07.2020 05:01:07.616 GMT+0700,1901.512,1900.448,370,370
27.07.2020 05:01:08.520 GMT+0700,1901.512,1900.498,370,370
27.07.2020 05:01:08.621 GMT+0700,1901.562,1900.498,370,370
27.07.2020 05:01:08.902 GMT+0700,1901.602,1899.998,370,75
27.07.2020 05:01:09.602 GMT+0700,1901.512,1900.158,370,370
27.07.2020 05:01:10.174 GMT+0700,1901.512,1900.108,370,370
27.07.2020 05:01:10.225 GMT+0700,1901.602,1899.998,370,150
27.07.2020 05:01:10.729 GMT+0700,1901.492,1899.998,370,150
27.07.2020 05:01:10.830 GMT+0700,1901.592,1899.898,370,150
27.07.2020 05:01:10.931 GMT+0700,1901.502,1900.128,370,370
27.07.2020 05:01:10.981 GMT+0700,1901.592,1900.208,370,370
27.07.2020 05:01:11.248 GMT+0700,1901.642,1900.208,370,370
27.07.2020 05:01:11.349 GMT+0700,1901.512,1900.198,370,370
27.07.2020 05:01:11.709 GMT+0700,1901.462,1900.168,370,370
27.07.2020 05:01:11.759 GMT+0700,1901.522,1900.208,370,370
27.07.2020 05:01:11.861 GMT+0700,1901.522,1900.058,370,370
27.07.2020 05:01:11.911 GMT+0700,1901.492,1900.108,370,370
27.07.2020 05:01:12.656 GMT+0700,1901.392,1900.058,370,370
27.07.2020 05:01:13.102 GMT+0700,1901.322,1900.058,370,370
27.07.2020 05:01:14.877 GMT+0700,1901.412,1900.118,370,370
27.07.2020 05:01:15.385 GMT+0700,1901.472,1900.158,370,370
27.07.2020 05:01:15.624 GMT+0700,1901.502,1900.208,370,370
27.07.2020 05:01:16.588 GMT+0700,1901.372,1900.138,370,370
27.07.2020 05:01:16.638 GMT+0700,1901.452,1900.188,370,370
27.07.2020 05:01:16.739 GMT+0700,1901.512,1900.238,370,370
27.07.2020 05:01:17.142 GMT+0700,1901.522,1900.278,370,370
27.07.2020 05:01:18.022 GMT+0700,1901.492,1900.318,370,370
27.07.2020 05:01:18.581 GMT+0700,1901.492,1900.328,370,370
27.07.2020 05:01:19.095 GMT+0700,1901.432,1900.298,370,370
27.07.2020 05:01:19.196 GMT+0700,1901.312,1900.238,370,370
27.07.2020 05:01:21.149 GMT+0700,1901.252,1900.188,370,370
27.07.2020 05:01:21.250 GMT+0700,1901.172,1900.088,370,370
27.07.2020 05:01:21.698 GMT+0700,1901.082,1900.048,370,370
27.07.2020 05:01:21.749 GMT+0700,1901.092,1899.998,370,370
27.07.2020 05:01:21.858 GMT+0700,1901.172,1900.048,370,370
27.07.2020 05:01:21.959 GMT+0700,1901.102,1900.038,370,370
27.07.2020 05:01:22.971 GMT+0700,1901.132,1900.078,370,370
27.07.2020 05:01:23.652 GMT+0700,1901.362,1899.798,370,150
27.07.2020 05:01:24.351 GMT+0700,1901.112,1899.798,370,150
27.07.2020 05:01:25.024 GMT+0700,1901.362,1899.798,370,150
27.07.2020 05:01:25.774 GMT+0700,1901.142,1899.798,370,150
27.07.2020 05:01:29.511 GMT+0700,1901.182,1899.898,370,150
27.07.2020 05:01:29.712 GMT+0700,1901.202,1899.898,370,150
27.07.2020 05:01:30.849 GMT+0700,1901.252,1899.898,370,150
27.07.2020 05:01:30.899 GMT+0700,1901.412,1900.098,370,150
27.07.2020 05:01:30.949 GMT+0700,1901.482,1900.098,370,150
27.07.2020 05:01:31.000 GMT+0700,1901.492,1900.228,370,370
27.07.2020 05:01:31.753 GMT+0700,1901.522,1900.278,370,370
27.07.2020 05:01:32.179 GMT+0700,1901.682,1900.198,370,75
27.07.2020 05:01:32.929 GMT+0700,1901.522,1900.198,370,75
27.07.2020 05:01:34.611 GMT+0700,1901.522,1900.068,370,370
27.07.2020 05:01:34.662 GMT+0700,1901.522,1900.098,370,150
27.07.2020 05:01:35.911 GMT+0700,1901.142,1899.948,370,370
27.07.2020 05:01:36.012 GMT+0700,1901.422,1900.008,370,370
27.07.2020 05:01:36.127 GMT+0700,1901.362,1899.938,370,370
27.07.2020 05:01:36.178 GMT+0700,1901.502,1899.898,370,150
27.07.2020 05:01:36.877 GMT+0700,1901.382,1899.968,370,370
27.07.2020 05:01:37.814 GMT+0700,1901.382,1900.008,370,370
27.07.2020 05:01:38.140 GMT+0700,1901.042,1899.748,370,370
27.07.2020 05:01:38.392 GMT+0700,1900.972,1899.748,370,370
27.07.2020 05:01:38.442 GMT+0700,1901.012,1899.748,370,370
27.07.2020 05:01:39.023 GMT+0700,1900.632,1899.788,370,370
27.07.2020 05:01:39.073 GMT+0700,1901.072,1899.788,370,370
27.07.2020 05:01:40.627 GMT+0700,1900.972,1899.748,370,370
27.07.2020 05:01:40.965 GMT+0700,1900.962,1899.638,370,370
27.07.2020 05:01:42.202 GMT+0700,1900.962,1899.688,370,370
27.07.2020 05:01:44.618 GMT+0700,1900.802,1899.688,370,370
27.07.2020 05:01:44.719 GMT+0700,1900.912,1899.668,370,370
27.07.2020 05:01:45.029 GMT+0700,1900.912,1899.708,370,370
